Day,Anime Search Index
2023-12-31,85
2024-01-07,80
2024-01-14,81
2024-01-21,82
2024-01-28,81
2024-02-04,79
2024-02-11,81
2024-02-18,78
2024-02-25,80
2024-03-03,77
2024-03-10,75
2024-03-17,78
2024-03-24,84
2024-03-31,82
2024-04-07,80
2024-04-14,79
2024-04-21,77
2024-04-28,80
2024-05-05,79
2024-05-12,78
2024-05-19,79
2024-05-26,84
2024-06-02,80
2024-06-09,77
2024-06-16,83
2024-06-23,79
2024-06-30,91
2024-07-07,88
2024-07-14,86
2024-07-21,85
2024-07-28,85
2024-08-04,83
2024-08-11,83
2024-08-18,82
2024-08-25,80
2024-09-01,86
2024-09-08,85
2024-09-15,80
2024-09-22,76
2024-09-29,81
2024-10-06,84
2024-10-13,80
2024-10-20,78
2024-10-27,82
2024-11-03,75
2024-11-10,81
2024-11-17,77
2024-11-24,77
2024-12-01,82
2024-12-08,80
2024-12-15,84
2024-12-22,96
2024-12-29,100
